h_county_tract,average_commute_time,average_walk_distance,number_of_commuters
081028400,1990.61368209,705.373285848,497
081028500,1039.96379526,326.643442238,801
081028700,1008.96539162,345.744319164,1098
081028800,1764.71006711,588.574005993,745
081028900,842.482124617,305.378749529,979
081029100,1034.38926174,387.593955282,1043
081029300,1699.69055375,588.068958584,307
081029400,1462.77864583,393.922673401,1152
081029500,1185.04722222,391.61891324,720
081029700,1472.02222222,700.657984759,450
081029900,3555.875,1657.68364038,64
081030600,1316.51318681,355.075702874,910
081030902,955.455817378,275.593430043,1358
081030903,1082.75977654,348.728671517,1074
081030904,1372.68399453,407.502399133,731
081031700,1021.57408844,342.379569444,1289
081032000,2234.63793103,511.748332329,580
081032700,1379.41466855,390.166189963,709
081032800,1673.90744467,635.136094581,497
081032900,1374.11525424,386.578360238,885
081033000,1346.0,465.857825112,1078
081033100,3446.84848485,1065.85131183,99
081033401,1879.4,699.772000377,495
081033402,903.888608871,336.444996399,1984
081033700,1255.62059974,421.360838732,767
081033900,1494.70180723,497.386824519,664
081034700,1585.8590604,466.313263651,745
081035100,1355.34741784,376.82618375,852
081035200,1876.76537585,667.057994191,439
081035300,1720.12883436,467.189481893,489
081035700,1432.6852071,429.725141032,845
081035800,1823.5728,761.948416394,625
081036100,1551.27490775,418.888526911,542
081036300,1973.84772727,721.714732209,440
081036500,1636.52217454,384.600000741,699
081036600,1759.00663717,463.216054842,452
081036700,1868.7614841,555.071355985,566
081036800,2185.50694444,543.054226467,432
081037100,1764.18024691,421.460260818,405
081037300,1669.2906793,414.601243819,633
081037500,1186.64610866,415.457068595,681
081037600,1443.01724138,398.359624532,986
081037700,1421.11111111,522.332758344,657
081037900,1170.83613031,404.229958159,1013
081038100,1229.67727772,429.783158735,911
081038301,3403.24576271,1375.48362425,118
081038302,3478.53900709,1631.24006249,141
081038400,2246.07194245,482.989146655,556
081039400,1835.35335689,526.147521625,566
081039800,2214.3019943,675.610700681,351
081039900,1268.44911147,318.639124454,619
081040000,2574.89393939,684.271772298,264
081040100,1010.57881356,251.34508161,1180
081040200,2159.0,674.703676477,388
081040300,1147.33777778,315.333251002,900
081040400,1755.78425656,490.878520045,686
081040500,1318.04518664,292.591008833,509
081040700,933.524271845,317.265175523,1236
081040900,958.487405542,267.883056835,794
081041100,1357.89792899,468.790218533,676
081041300,1456.47669173,440.898468572,665
081041400,1480.0188172,506.98319669,744
081041500,1386.07304117,374.345055776,753
081042400,2325.19721578,733.646816284,431
081042600,3764.29464286,1327.52567998,112
081042700,1222.42745098,347.157471098,765
081043200,2268.77669903,663.362999487,309
081043400,2192.44475138,625.867493123,362
081043701,1519.75856444,455.79189184,613
081043702,1334.91785323,416.834079238,913
081043900,1401.64217687,447.401710203,735
081044000,1719.17125382,523.06882587,654
081044301,1463.76287051,527.270330614,641
081044302,1153.99885714,427.285144927,875
081044400,1403.86729858,440.181429888,633
081044601,1386.62585034,435.66446633,588
081044602,1268.70280612,380.687665863,784
081044800,1417.01324503,456.099806326,604
081045000,1727.30803571,576.207877247,448
081045200,2411.09251101,959.933131161,227
081045400,1248.46659243,377.475736556,898
081045500,707.722692633,220.208968794,2362
081045600,2067.2,648.712708619,365
081045700,1441.05233645,491.615203737,535
081045800,1662.51094891,535.906424142,411
081045900,1539.03839442,574.756633309,573
081046000,1182.3135825,344.168199648,1097
081046100,1790.77149321,680.060710388,442
081046200,1068.67608862,338.068990119,1309
081046300,1298.11664075,491.891883685,643
081046400,2246.58116883,765.094405574,308
081046500,1534.95652174,485.671804867,483
081046600,1655.14619883,445.8301802,513
081046700,976.405328259,364.10819171,1051
081046800,1245.24969549,352.099757319,821
081046900,990.522824536,338.144021526,1402
081047000,1312.99874687,428.500958231,798
081047100,1229.07170294,406.652587707,781
081047200,1740.72156197,605.125821704,589
081047300,1293.93084112,330.8387151,535
081047500,1286.7816092,442.36398252,696
081047600,2185.97660819,775.834146525,342
081047800,1248.4068323,331.461983256,966
081047900,1197.29124005,418.932963816,879
081048000,1887.38626609,490.293971666,466
081048100,1163.42908224,409.772376136,839
081048200,1952.63529412,556.384347654,340
081048300,1503.41410488,620.481035225,553
081048400,1272.97037702,442.833977942,1114
081048500,1389.69457364,540.900431845,645
081048900,1662.57765668,646.640806517,367
081049200,1523.54919679,398.181419648,996
081049301,1751.51532033,535.432238945,359
081049302,1378.59826087,335.955879751,575
081049500,2134.53950954,765.039541617,367
081049600,1709.20773639,561.303909137,698
081049700,1520.94160584,472.201311507,548
081049900,1232.80100125,443.351284725,799
081050000,1190.33870968,383.636263423,930
081050201,1893.11783439,533.063872849,314
081050202,2282.01269841,881.250203099,315
081050400,2123.14893617,602.939659993,376
081050500,2043.65467626,653.245938982,278
081050600,2190.58409786,486.054061759,327
081050700,1411.47595357,426.366403084,603
081050800,2516.3884058,660.248747585,345
081051000,2367.58527132,761.158501863,258
081051100,1282.64902998,329.69524617,567
081051200,2096.58058252,638.279450308,515
081051300,1489.5,454.331154833,484
081051500,1421.07017544,460.686522897,627
081051600,2340.36886994,540.189970276,469
