FID,FID_1,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,Count_,Sum_Id,IsDestination?,FlatbushDest,ChinaDest,JamicaDest,OriginChina,DONOTUSE,OriginFlat,DoNotUse,OriginJamica
68,68,110,3,Brooklyn,011000,3011000,E,BK34,Sunset Park East,4012,5365.03648,1699091.864,0,0,0,0,0,0,0,0,0,0,0
69,69,114,3,Brooklyn,011400,3011400,E,BK88,Borough Park,4014,5462.281937,1806159.314,1,0,1,0,1,0,1,0,0,0,0
70,70,121,3,Brooklyn,012100,3012100,I,BK37,Park Slope-Gowanus,4005,5142.255433,1593259.407,0,0,0,0,0,0,0,0,0,0,0
71,71,128.01,3,Brooklyn,012801,3012801,I,BK30,Dyker Heights,4013,4828.983916,1238338.687,1,0,1,0,1,0,1,0,0,0,0
72,72,130,3,Brooklyn,013000,3013000,E,BK31,Bay Ridge,4013,5648.236506,1899181.556,1,0,1,0,1,0,1,0,0,0,0
73,73,132,3,Brooklyn,013200,3013200,E,BK30,Dyker Heights,4013,6369.334993,1665114.519,1,0,1,0,1,0,1,0,0,0,0
74,74,133,3,Brooklyn,013300,3013300,I,BK37,Park Slope-Gowanus,4005,5175.703509,1596011.273,0,0,0,0,0,0,0,0,0,0,0
75,75,136,3,Brooklyn,013600,3013600,I,BK31,Bay Ridge,4013,8233.665277,2322222.357,0,0,0,0,0,0,0,0,0,0,0
76,76,137,3,Brooklyn,013700,3013700,I,BK37,Park Slope-Gowanus,4005,5226.631819,1638366.14,0,0,0,0,0,0,0,0,0,0,0
77,77,139,3,Brooklyn,013900,3013900,E,BK37,Park Slope-Gowanus,4005,5219.680479,1631336.533,0,0,0,0,0,0,0,0,0,0,0
78,78,151,3,Brooklyn,015100,3015100,I,BK37,Park Slope-Gowanus,4005,5175.221646,1607114.126,0,0,0,0,0,0,0,0,0,0,0
79,79,153,3,Brooklyn,015300,3015300,I,BK37,Park Slope-Gowanus,4005,5188.381441,1619490.318,0,0,0,0,0,0,0,0,0,0,0
80,80,155,3,Brooklyn,015500,3015500,I,BK37,Park Slope-Gowanus,4005,5181.351516,1610814.53,0,0,0,0,0,0,0,0,0,0,0
81,81,157,3,Brooklyn,015700,3015700,I,BK37,Park Slope-Gowanus,4005,5427.704575,1802056.047,0,0,0,0,0,0,0,0,0,0,0
82,82,165,3,Brooklyn,016500,3016500,I,BK37,Park Slope-Gowanus,4005,6727.004994,2006987.782,0,0,0,0,0,0,0,0,0,0,0
83,83,170,3,Brooklyn,017000,3017000,I,BK27,Bath Beach,4017,7327.426867,2249706.401,0,0,0,0,0,0,0,0,0,0,0
84,84,172,3,Brooklyn,017200,3017200,E,BK27,Bath Beach,4017,7259.321387,2220321.635,0,0,0,0,0,0,0,0,0,0,0
85,85,178,3,Brooklyn,017800,3017800,E,BK27,Bath Beach,4017,6092.042689,1765217.211,0,0,0,0,0,0,0,0,0,0,0
86,86,182,3,Brooklyn,018200,3018200,E,BK28,Bensonhurst West,4017,5730.247189,1781130.547,0,0,0,0,0,0,0,0,0,0,0
87,87,184,3,Brooklyn,018400,3018400,E,BK28,Bensonhurst West,4017,5157.913005,1605281.577,0,0,0,0,0,0,0,0,0,0,0
88,88,186,3,Brooklyn,018600,3018600,I,BK28,Bensonhurst West,4017,4679.729979,1216850.532,0,0,0,0,0,0,0,0,0,0,0
89,89,188,3,Brooklyn,018800,3018800,I,BK28,Bensonhurst West,4017,5864.289707,1885932.632,0,0,0,0,0,0,0,0,0,0,0
90,90,190,3,Brooklyn,019000,3019000,E,BK28,Bensonhurst West,4017,6614.318963,2291793.605,0,0,0,0,0,0,0,0,0,0,0
91,91,192,3,Brooklyn,019200,3019200,E,BK88,Borough Park,4014,5880.317176,2042946.474,0,0,0,0,0,0,0,0,0,0,0
92,92,194,3,Brooklyn,019400,3019400,E,BK30,Dyker Heights,4013,6220.292663,1920211.755,0,0,0,0,0,0,0,0,0,0,0
93,93,195,3,Brooklyn,019500,3019500,E,BK69,Clinton Hill,4004,4887.717107,1475082.708,0,0,0,0,0,0,0,0,0,0,0
94,94,196,3,Brooklyn,019600,3019600,E,BK30,Dyker Heights,4013,5718.167634,2027285.922,0,0,0,0,0,0,0,0,0,0,0
95,95,197,3,Brooklyn,019700,3019700,I,BK69,Clinton Hill,4004,6148.341529,1828072.206,0,0,0,0,0,0,0,0,0,0,0
96,96,198,3,Brooklyn,019800,3019800,E,BK30,Dyker Heights,4013,5279.397046,1450201.497,0,0,0,0,0,0,0,0,0,0,0
97,97,204,3,Brooklyn,020400,3020400,I,BK30,Dyker Heights,4013,5280.338322,1450945.784,0,0,0,0,0,0,0,0,0,0,0
98,98,208,3,Brooklyn,020800,3020800,I,BK30,Dyker Heights,4013,5945.305485,1542688.997,1,0,1,0,1,0,1,0,0,0,0
99,99,210,3,Brooklyn,021000,3021000,E,BK30,Dyker Heights,4013,5710.82802,1614539.932,1,0,1,0,1,0,1,0,0,0,0
100,100,212,3,Brooklyn,021200,3021200,E,BK30,Dyker Heights,4013,5986.105228,2054324.467,1,0,1,0,1,0,1,0,0,0,0
101,101,214,3,Brooklyn,021400,3021400,E,BK88,Borough Park,4014,5551.994241,1808036.312,1,0,1,0,1,0,1,0,0,0,0
102,102,219,3,Brooklyn,021900,3021900,E,BK61,Crown Heights North,4006,5031.288126,1582742.164,0,0,0,0,0,0,0,0,0,0,0
103,103,220,3,Brooklyn,022000,3022000,E,BK88,Borough Park,4014,6117.0823,2091173.161,0,0,0,0,0,0,0,0,0,0,0
