,lat,lon,tract
236,40.8258951072,-73.9515602818,"(u'1', u'022900')"
237,40.8184722489,-73.9413895115,"(u'1', u'023000')"
238,40.8258282662,-73.9440994332,"(u'1', u'023100')"
239,40.8210134693,-73.9395309504,"(u'1', u'023200')"
240,40.8285208418,-73.9499944256,"(u'1', u'023300')"
241,40.8237314384,-73.9386704736,"(u'1', u'023400')"
242,40.828991336,-73.9418382305,"(u'1', u'023501')"
243,40.8278987612,-73.9389249314,"(u'1', u'023502')"
244,40.8249098456,-73.9360915711,"(u'1', u'023600')"
245,40.8314713834,-73.9475868258,"(u'1', u'023700')"
246,40.7574626734,-73.9539208017,"(u'1', u'023801')"
247,40.7678752833,-73.9446048432,"(u'1', u'023802')"
248,40.8323376434,-73.9410640695,"(u'1', u'023900')"
249,40.7910013667,-73.9245967691,"(u'1', u'024000')"
250,40.8341155475,-73.945996869,"(u'1', u'024100')"
251,40.8053064983,-73.9341423361,"(u'1', u'024200')"
252,40.8359725837,-73.9387602235,"(u'1', u'024301')"
253,40.8315477762,-73.9367709506,"(u'1', u'024302')"
254,40.8366265029,-73.9420978295,"(u'1', u'024500')"
255,40.8383424125,-73.9462508183,"(u'1', u'024700')"
256,40.8391289315,-73.936449595,"(u'1', u'024900')"
257,40.8403259776,-73.939922738,"(u'1', u'025100')"
258,40.8428949517,-73.9383789651,"(u'1', u'025300')"
259,40.8454845383,-73.9439331234,"(u'1', u'025500')"
260,40.8084358365,-73.9540738517,"(u'1', u'025700')"
261,40.8232136942,-73.9423570093,"(u'1', u'025900')"
262,40.8457845107,-73.9344549779,"(u'1', u'026100')"
263,40.8468225619,-73.9374754178,"(u'1', u'026300')"
264,40.8496405934,-73.9400763156,"(u'1', u'026500')"
265,40.8503369426,-73.9286331775,"(u'1', u'026700')"
266,40.8505567417,-73.9309747383,"(u'1', u'026900')"
267,40.8519438738,-73.9342942,"(u'1', u'027100')"
268,40.8539737259,-73.9373878186,"(u'1', u'027300')"
269,40.854612625,-73.9403987526,"(u'1', u'027500')"
270,40.8554441535,-73.9273884672,"(u'1', u'027700')"
271,40.8558576387,-73.9316269376,"(u'1', u'027900')"
272,40.8569699585,-73.9345932864,"(u'1', u'028100')"
273,40.858904487,-73.9287324515,"(u'1', u'028300')"
274,40.8614993822,-73.9280480205,"(u'1', u'028500')"
275,40.8635377191,-73.9319213336,"(u'1', u'028700')"
276,40.8643108985,-73.9239340266,"(u'1', u'029100')"
277,40.8659257273,-73.9201196282,"(u'1', u'029300')"
278,40.8675230806,-73.9249410206,"(u'1', u'029500')"
279,40.8723767541,-73.9243873301,"(u'1', u'029700')"
280,40.8648413284,-73.9169872587,"(u'1', u'029900')"
281,40.8692195551,-73.9186523777,"(u'1', u'030300')"
282,40.8712702094,-73.9166757339,"(u'1', u'030700')"
283,40.8759655121,-73.9103737136,"(u'1', u'030900')"
284,40.846660505,-73.9301854566,"(u'1', u'031100')"
285,40.7153681083,-74.0151598828,"(u'1', u'031703')"
286,40.708391344,-74.0170851093,"(u'1', u'031704')"
287,40.70295904,-74.0155768463,"(u'1', u'031900')"
288,40.7911329847,-73.8826580719,"(u'2', u'000100')"
289,40.8108676919,-73.8592358142,"(u'2', u'000200')"
290,40.8105992904,-73.8524156176,"(u'2', u'000400')"
291,40.8188477446,-73.8580762041,"(u'2', u'001600')"
292,40.8030283019,-73.914681271,"(u'2', u'001900')"
293,40.817578211,-73.8661038894,"(u'2', u'002000')"
294,40.8090839457,-73.9258456428,"(u'2', u'002300')"
295,40.8164839326,-73.871352687,"(u'2', u'002400')"
296,40.8070018028,-73.9208762255,"(u'2', u'002500')"
297,40.8050770088,-73.9163581912,"(u'2', u'002701')"
298,40.8064481774,-73.9137737868,"(u'2', u'002702')"
299,40.8215990774,-73.8782131421,"(u'2', u'002800')"
300,40.8098830164,-73.9056988048,"(u'2', u'003100')"
301,40.8082391886,-73.911939339,"(u'2', u'003300')"
302,40.810965979,-73.9086729464,"(u'2', u'003500')"
303,40.811456794,-73.9121741052,"(u'2', u'003700')"
304,40.8202944075,-73.8633435372,"(u'2', u'003800')"
305,40.8097185974,-73.9214189243,"(u'2', u'003900')"
306,40.8282720258,-73.8583353055,"(u'2', u'004001')"
307,40.8113803549,-73.9194149343,"(u'2', u'004100')"
308,40.8239241353,-73.8620248598,"(u'2', u'004200')"
309,40.8136183966,-73.9170501676,"(u'2', u'004300')"
310,40.8265078569,-73.8664702728,"(u'2', u'004400')"
311,40.8224100317,-73.8691813329,"(u'2', u'004600')"
312,40.8270109432,-73.8743555486,"(u'2', u'004800')"
313,40.8249972088,-73.8778535551,"(u'2', u'005001')"
314,40.827363093,-73.8784346805,"(u'2', u'005002')"
315,40.8131912802,-73.9275841805,"(u'2', u'005100')"
316,40.8256240997,-73.882476123,"(u'2', u'005200')"
317,40.8521978976,-73.9219786756,"(u'2', u'005300')"
318,40.829907426,-73.8797430654,"(u'2', u'005400')"
319,40.8326217807,-73.8791422477,"(u'2', u'005600')"
320,40.8240833833,-73.9234527702,"(u'2', u'005902')"
321,40.8377098132,-73.8779766589,"(u'2', u'006000')"
322,40.8222547737,-73.9226565041,"(u'2', u'006100')"
323,40.8332887938,-73.875547184,"(u'2', u'006200')"
324,40.8238067902,-73.9284220878,"(u'2', u'006300')"
325,40.8330032269,-73.872232452,"(u'2', u'006400')"
326,40.8174023715,-73.921664634,"(u'2', u'006500')"
327,40.8194960902,-73.9181725854,"(u'2', u'006700')"
328,40.8289578304,-73.8705264334,"(u'2', u'006800')"
329,40.821866052,-73.91577347,"(u'2', u'006900')"
330,40.8298178318,-73.8656218415,"(u'2', u'007000')"
331,40.8182156226,-73.9128390003,"(u'2', u'007100')"
332,40.8310496308,-73.8606988513,"(u'2', u'007200')"
333,40.8146745881,-73.9093882774,"(u'2', u'007300')"
334,40.8194756091,-73.8528623054,"(u'2', u'007400')"
335,40.8187760766,-73.9086234732,"(u'2', u'007500')"
336,40.8333794176,-73.8676620543,"(u'2', u'007600')"
337,40.8197342008,-73.904422454,"(u'2', u'007700')"
338,40.8291726334,-73.8528305954,"(u'2', u'007800')"
339,40.8157902973,-73.9048672803,"(u'2', u'007900')"
340,40.813676186,-73.9018405278,"(u'2', u'008300')"
341,40.8156063474,-73.8477617034,"(u'2', u'008400')"
342,40.8162672386,-73.8990783476,"(u'2', u'008500')"
343,40.8198792151,-73.8498080867,"(u'2', u'008600')"
344,40.8196743344,-73.8972730948,"(u'2', u'008700')"
345,40.8185553285,-73.8939205318,"(u'2', u'008900')"
346,40.8216939134,-73.8418324115,"(u'2', u'009000')"
347,40.8323574977,-73.8521098089,"(u'2', u'009200')"
348,40.8093422591,-73.8892858337,"(u'2', u'009300')"
349,40.8344408871,-73.8438787739,"(u'2', u'009600')"
350,40.8254434787,-73.8495227558,"(u'2', u'009800')"
351,40.8166394606,-73.8325928023,"(u'2', u'011000')"
352,40.8196855514,-73.8860400747,"(u'2', u'011502')"
353,40.8105996381,-73.8766743259,"(u'2', u'011700')"
354,40.8126119665,-73.8042689309,"(u'2', u'011800')"
355,40.8232798174,-73.8895685186,"(u'2', u'011900')"
356,40.8282760491,-73.8888783199,"(u'2', u'012101')"
357,40.8260033801,-73.8879069353,"(u'2', u'012102')"
358,40.8285777405,-73.8874125446,"(u'2', u'012300')"
359,40.8286347935,-73.8935252917,"(u'2', u'012500')"
360,40.8256327564,-73.892328124,"(u'2', u'012701')"
361,40.8226300448,-73.8987334241,"(u'2', u'012901')"
362,40.8193055298,-73.8147487966,"(u'2', u'013000')"
363,40.8259524985,-73.8978952526,"(u'2', u'013100')"
364,40.8155193584,-73.8206917416,"(u'2', u'013200')"
365,40.8228228247,-73.903485136,"(u'2', u'013300')"
366,40.8271273346,-73.9020925008,"(u'2', u'013500')"
367,40.8215612215,-73.8101183293,"(u'2', u'013800')"
368,40.823763723,-73.9122979613,"(u'2', u'014100')"
369,40.8277481494,-73.9121283248,"(u'2', u'014300')"
370,40.8212923651,-73.8233499228,"(u'2', u'014400')"
371,40.8315122487,-73.9070317828,"(u'2', u'014500')"
372,40.8342271774,-73.9053282855,"(u'2', u'014701')"
373,40.8365396278,-73.9044016838,"(u'2', u'014702')"
374,40.8325909805,-73.901492439,"(u'2', u'014900')"
375,40.8310897867,-73.8984733377,"(u'2', u'015100')"
376,40.8263385923,-73.824926115,"(u'2', u'015200')"
377,40.8334669216,-73.8941209573,"(u'2', u'015300')"
378,40.8355240801,-73.8899852674,"(u'2', u'015500')"
379,40.8329990181,-73.8855144465,"(u'2', u'015700')"
380,40.8248581157,-73.8186162061,"(u'2', u'015800')"
381,40.8223700424,-73.893556684,"(u'2', u'015900')"
382,40.831117621,-73.8175194949,"(u'2', u'016000')"
383,40.8368449953,-73.8850182577,"(u'2', u'016100')"
384,40.8288502754,-73.8217593168,"(u'2', u'016200')"
385,40.8385494225,-73.8949861576,"(u'2', u'016300')"
386,40.8321996,-73.8248478523,"(u'2', u'016400')"
387,40.843064948,-73.9002943803,"(u'2', u'016500')"
388,40.8295245297,-73.8301845746,"(u'2', u'016600')"
389,40.8404820483,-73.9021696459,"(u'2', u'016700')"
390,40.8377904856,-73.9027259133,"(u'2', u'016900')"
391,40.8403930636,-73.9074759971,"(u'2', u'017100')"
392,40.8263065195,-73.9165131607,"(u'2', u'017300')"
393,40.8308226969,-73.9136510894,"(u'2', u'017500')"
394,40.8331957985,-73.9111774517,"(u'2', u'017701')"
395,40.8361805305,-73.9095462512,"(u'2', u'017702')"
396,40.8348355184,-73.9151854052,"(u'2', u'017901')"
397,40.8370046956,-73.9134993574,"(u'2', u'017902')"
398,40.8316074121,-73.9161111115,"(u'2', u'018101')"
399,40.8322670563,-73.9181408974,"(u'2', u'018102')"
400,40.8286335306,-73.9208205769,"(u'2', u'018301')"
401,40.8279123678,-73.9187521948,"(u'2', u'018302')"
402,40.8374184511,-73.8292806705,"(u'2', u'018400')"
